"","beta","rho","v_shed","v_reduced_shed","reduced_shed","v_susc","v_Ab_susc","set","coverage","persistence"
"191",1,0.000925925925925926,0.01,0.0015,0.01,1,0.75,24,"0.9",97
"192",1,0.000925925925925926,0.01,0.0015,0.01,1,0.75,24,"1",97
"193",0.25,0.000277777777777778,0.01,0.0015,0.01,1,0.75,25,"0",100
"194",0.25,0.000277777777777778,0.01,0.0015,0.01,1,0.75,25,"0.4",100
"195",0.25,0.000277777777777778,0.01,0.0015,0.01,1,0.75,25,"0.5",100
"196",0.25,0.000277777777777778,0.01,0.0015,0.01,1,0.75,25,"0.6",100
"197",0.25,0.000277777777777778,0.01,0.0015,0.01,1,0.75,25,"0.7",32
"198",0.25,0.000277777777777778,0.01,0.0015,0.01,1,0.75,25,"0.8",0
"199",0.25,0.000277777777777778,0.01,0.0015,0.01,1,0.75,25,"0.9",0
"200",0.25,0.000277777777777778,0.01,0.0015,0.01,1,0.75,25,"1",0
"201",0.5,0.000277777777777778,0.01,0.0015,0.01,1,0.75,26,"0",100
"202",0.5,0.000277777777777778,0.01,0.0015,0.01,1,0.75,26,"0.4",100
"203",0.5,0.000277777777777778,0.01,0.0015,0.01,1,0.75,26,"0.5",100
"204",0.5,0.000277777777777778,0.01,0.0015,0.01,1,0.75,26,"0.6",100
"205",0.5,0.000277777777777778,0.01,0.0015,0.01,1,0.75,26,"0.7",100
"206",0.5,0.000277777777777778,0.01,0.0015,0.01,1,0.75,26,"0.8",99
"207",0.5,0.000277777777777778,0.01,0.0015,0.01,1,0.75,26,"0.9",9
"208",0.5,0.000277777777777778,0.01,0.0015,0.01,1,0.75,26,"1",0
"209",1,0.000277777777777778,0.01,0.0015,0.01,1,0.75,27,"0",100
"210",1,0.000277777777777778,0.01,0.0015,0.01,1,0.75,27,"0.4",100
"211",1,0.000277777777777778,0.01,0.0015,0.01,1,0.75,27,"0.5",100
"212",1,0.000277777777777778,0.01,0.0015,0.01,1,0.75,27,"0.6",100
"213",1,0.000277777777777778,0.01,0.0015,0.01,1,0.75,27,"0.7",100
"214",1,0.000277777777777778,0.01,0.0015,0.01,1,0.75,27,"0.8",99
"215",1,0.000277777777777778,0.01,0.0015,0.01,1,0.75,27,"0.9",92
"216",1,0.000277777777777778,0.01,0.0015,0.01,1,0.75,27,"1",8
"217",0.25,0.00277777777777778,1,0.0015,0.01,1,0.5,28,"0",100
"218",0.25,0.00277777777777778,1,0.0015,0.01,1,0.5,28,"0.4",100
"219",0.25,0.00277777777777778,1,0.0015,0.01,1,0.5,28,"0.5",100
"220",0.25,0.00277777777777778,1,0.0015,0.01,1,0.5,28,"0.6",100
"221",0.25,0.00277777777777778,1,0.0015,0.01,1,0.5,28,"0.7",100
"222",0.25,0.00277777777777778,1,0.0015,0.01,1,0.5,28,"0.8",100
"223",0.25,0.00277777777777778,1,0.0015,0.01,1,0.5,28,"0.9",100
"224",0.25,0.00277777777777778,1,0.0015,0.01,1,0.5,28,"1",100
"225",0.5,0.00277777777777778,1,0.0015,0.01,1,0.5,29,"0",100
"226",0.5,0.00277777777777778,1,0.0015,0.01,1,0.5,29,"0.4",100
"227",0.5,0.00277777777777778,1,0.0015,0.01,1,0.5,29,"0.5",100
"228",0.5,0.00277777777777778,1,0.0015,0.01,1,0.5,29,"0.6",100
"229",0.5,0.00277777777777778,1,0.0015,0.01,1,0.5,29,"0.7",100
"230",0.5,0.00277777777777778,1,0.0015,0.01,1,0.5,29,"0.8",100
"231",0.5,0.00277777777777778,1,0.0015,0.01,1,0.5,29,"0.9",100
"232",0.5,0.00277777777777778,1,0.0015,0.01,1,0.5,29,"1",100
"233",1,0.00277777777777778,1,0.0015,0.01,1,0.5,30,"0",100
"234",1,0.00277777777777778,1,0.0015,0.01,1,0.5,30,"0.4",100
"235",1,0.00277777777777778,1,0.0015,0.01,1,0.5,30,"0.5",100
"236",1,0.00277777777777778,1,0.0015,0.01,1,0.5,30,"0.6",100
"237",1,0.00277777777777778,1,0.0015,0.01,1,0.5,30,"0.7",100
"238",1,0.00277777777777778,1,0.0015,0.01,1,0.5,30,"0.8",100
"239",1,0.00277777777777778,1,0.0015,0.01,1,0.5,30,"0.9",100
"240",1,0.00277777777777778,1,0.0015,0.01,1,0.5,30,"1",100
"241",0.25,0.000925925925925926,1,0.0015,0.01,1,0.5,31,"0",100
"242",0.25,0.000925925925925926,1,0.0015,0.01,1,0.5,31,"0.4",100
"243",0.25,0.000925925925925926,1,0.0015,0.01,1,0.5,31,"0.5",100
"244",0.25,0.000925925925925926,1,0.0015,0.01,1,0.5,31,"0.6",100
"245",0.25,0.000925925925925926,1,0.0015,0.01,1,0.5,31,"0.7",100
"246",0.25,0.000925925925925926,1,0.0015,0.01,1,0.5,31,"0.8",100
"247",0.25,0.000925925925925926,1,0.0015,0.01,1,0.5,31,"0.9",100
"248",0.25,0.000925925925925926,1,0.0015,0.01,1,0.5,31,"1",100
"249",0.5,0.000925925925925926,1,0.0015,0.01,1,0.5,32,"0",100
"250",0.5,0.000925925925925926,1,0.0015,0.01,1,0.5,32,"0.4",100
"251",0.5,0.000925925925925926,1,0.0015,0.01,1,0.5,32,"0.5",100
"252",0.5,0.000925925925925926,1,0.0015,0.01,1,0.5,32,"0.6",100
"253",0.5,0.000925925925925926,1,0.0015,0.01,1,0.5,32,"0.7",100
"254",0.5,0.000925925925925926,1,0.0015,0.01,1,0.5,32,"0.8",100
"255",0.5,0.000925925925925926,1,0.0015,0.01,1,0.5,32,"0.9",100
"256",0.5,0.000925925925925926,1,0.0015,0.01,1,0.5,32,"1",100
"257",1,0.000925925925925926,1,0.0015,0.01,1,0.5,33,"0",100
"258",1,0.000925925925925926,1,0.0015,0.01,1,0.5,33,"0.4",100
"259",1,0.000925925925925926,1,0.0015,0.01,1,0.5,33,"0.5",100
"260",1,0.000925925925925926,1,0.0015,0.01,1,0.5,33,"0.6",100
"261",1,0.000925925925925926,1,0.0015,0.01,1,0.5,33,"0.7",100
"262",1,0.000925925925925926,1,0.0015,0.01,1,0.5,33,"0.8",100
"263",1,0.000925925925925926,1,0.0015,0.01,1,0.5,33,"0.9",100
"264",1,0.000925925925925926,1,0.0015,0.01,1,0.5,33,"1",100
