"","beta","rho","v_shed","v_reduced_shed","reduced_shed","v_susc","v_Ab_susc","set","coverage","persistence"
"293",0.125,0.00277777777777778,0.5,0.33,0.5,1,0.75,37,"0.7",99
"294",0.125,0.00277777777777778,0.5,0.33,0.5,1,0.75,37,"0.8",95
"295",0.125,0.00277777777777778,0.5,0.33,0.5,1,0.75,37,"0.9",94
"296",0.125,0.00277777777777778,0.5,0.33,0.5,1,0.75,37,"1",84
"297",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,38,"0",100
"298",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,38,"0.4",100
"299",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,38,"0.5",100
"300",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,38,"0.6",100
"301",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,38,"0.7",100
"302",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,38,"0.8",100
"303",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,38,"0.9",100
"304",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,38,"1",100
"305",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,39,"0",100
"306",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,39,"0.4",100
"307",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,39,"0.5",100
"308",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,39,"0.6",100
"309",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,39,"0.7",100
"310",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,39,"0.8",100
"311",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,39,"0.9",100
"312",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,39,"1",100
"313",0.125,0.000925925925925926,0.5,0.33,0.5,1,0.75,40,"0",100
